Abbreviation,GridPosition,Position,FastestLap,Points
VER,1.0,1.0,80.342,25.0
HAM,3.0,2.0,80.613,18.0
ALO,4.0,3.0,80.476,15.0
STR,6.0,4.0,80.934,12.0
PER,0.0,5.0,80.235,11.0
NOR,13.0,6.0,81.173,8.0
HUL,10.0,7.0,81.124,6.0
PIA,16.0,8.0,81.335,4.0
ZHO,17.0,9.0,81.819,2.0
TSU,12.0,10.0,81.789,1.0
BOT,0.0,11.0,82.233,0.0
SAI,5.0,12.0,80.467,0.0
GAS,9.0,13.0,80.995,0.0
OCO,11.0,14.0,81.203,0.0
DEV,15.0,15.0,81.183,0.0
SAR,18.0,16.0,81.456,0.0
MAG,14.0,17.0,81.685,0.0
RUS,2.0,18.0,82.68,0.0
ALB,8.0,19.0,83.349,0.0
LEC,7.0,20.0,0.0,0.0
