Abbreviation,GridPosition,Position,FastestLap,Points
VER,1.0,1.0,96.236,25.0
PER,2.0,2.0,96.344,18.0
ALO,5.0,3.0,96.156,15.0
SAI,4.0,4.0,97.13,12.0
HAM,7.0,5.0,96.546,10.0
STR,8.0,6.0,96.546,8.0
RUS,6.0,7.0,97.035,6.0
BOT,12.0,8.0,97.379,4.0
GAS,20.0,9.0,95.068,2.0
ALB,15.0,10.0,97.144,1.0
TSU,14.0,11.0,96.637,0.0
SAR,16.0,12.0,96.037,0.0
MAG,17.0,13.0,96.471,0.0
DEV,19.0,14.0,97.709,0.0
HUL,10.0,15.0,96.616,0.0
ZHO,13.0,16.0,93.996,0.0
NOR,11.0,17.0,95.257,0.0
OCO,9.0,18.0,96.797,0.0
LEC,3.0,19.0,97.17,0.0
PIA,18.0,20.0,100.691,0.0
