Abbreviation,GridPosition,Position,FastestLap,Points
PER,1.0,1.0,92.188,25.0
VER,15.0,2.0,91.906,19.0
ALO,2.0,3.0,92.24,15.0
RUS,3.0,4.0,92.433,12.0
HAM,7.0,5.0,92.941,10.0
SAI,4.0,6.0,92.822,8.0
LEC,12.0,7.0,93.056,6.0
OCO,6.0,8.0,93.222,4.0
GAS,9.0,9.0,93.392,2.0
MAG,13.0,10.0,93.374,1.0
TSU,16.0,11.0,93.931,0.0
HUL,10.0,12.0,93.78,0.0
ZHO,11.0,13.0,93.894,0.0
DEV,18.0,14.0,93.609,0.0
PIA,8.0,15.0,94.287,0.0
SAR,20.0,16.0,94.469,0.0
NOR,19.0,17.0,94.122,0.0
BOT,14.0,18.0,94.384,0.0
ALB,17.0,19.0,95.567,0.0
STR,5.0,20.0,95.14,0.0
